equity,win_rate,profit_factor,max_drawdown,total_return,num_trades,initial_equity,ending_equity,total_return_pct,gross_profit,gross_loss,iteration,params,max_drawdown_pct,method,strategy_name,started_at,method_options
-1.7848814238038235,0.0,0.0,1.7848814238022896,-1.7848814238022896,4,20000.0,19998.215118576198,-8.924407119011449e-05,0.0,-1.7848814238038235,33,"{'ema_period': 150, 'adx_threshold': 55.0, 'stoch_period': 10, 'risk_reward': 0.8}",8.924407119011449e-05,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-1.7848814238038235,0.0,0.0,1.7848814238022896,-1.7848814238022896,4,20000.0,19998.215118576198,-8.924407119011449e-05,0.0,-1.7848814238038235,34,"{'ema_period': 150, 'adx_threshold': 55.0, 'stoch_period': 10, 'risk_reward': 1.0}",8.924407119011449e-05,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-1.7848814238038235,0.0,0.0,1.7848814238022896,-1.7848814238022896,4,20000.0,19998.215118576198,-8.924407119011449e-05,0.0,-1.7848814238038235,35,"{'ema_period': 150, 'adx_threshold': 55.0, 'stoch_period': 10, 'risk_reward': 1.2}",8.924407119011449e-05,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-1.7848814238038235,0.0,0.0,1.7848814238022896,-1.7848814238022896,4,20000.0,19998.215118576198,-8.924407119011449e-05,0.0,-1.7848814238038235,36,"{'ema_period': 150, 'adx_threshold': 55.0, 'stoch_period': 10, 'risk_reward': 1.5}",8.924407119011449e-05,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.0690515810228076,0.4583333333333333,0.8247838841939916,9.071856384489365,-2.069051581023814,24,20000.0,19997.930948418976,-0.0001034525790511907,9.739517348296292,-11.808568929319101,9,"{'ema_period': 150, 'adx_threshold': 35.0, 'stoch_period': 18, 'risk_reward': 0.8}",0.00045359281922446827,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.0690515810228076,0.4583333333333333,0.8247838841939916,9.071856384489365,-2.069051581023814,24,20000.0,19997.930948418976,-0.0001034525790511907,9.739517348296292,-11.808568929319101,10,"{'ema_period': 150, 'adx_threshold': 35.0, 'stoch_period': 18, 'risk_reward': 1.0}",0.00045359281922446827,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.0690515810228076,0.4583333333333333,0.8247838841939916,9.071856384489365,-2.069051581023814,24,20000.0,19997.930948418976,-0.0001034525790511907,9.739517348296292,-11.808568929319101,11,"{'ema_period': 150, 'adx_threshold': 35.0, 'stoch_period': 18, 'risk_reward': 1.2}",0.00045359281922446827,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.0690515810228076,0.4583333333333333,0.8247838841939916,9.071856384489365,-2.069051581023814,24,20000.0,19997.930948418976,-0.0001034525790511907,9.739517348296292,-11.808568929319101,12,"{'ema_period': 150, 'adx_threshold': 35.0, 'stoch_period': 18, 'risk_reward': 1.5}",0.00045359281922446827,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.651962599144433,0.4,0.5732894405153854,6.2148979916237295,-2.651962599149556,10,20000.0,19997.34803740085,-0.0001325981299574778,3.562935392476635,-6.2148979916210685,21,"{'ema_period': 150, 'adx_threshold': 45.0, 'stoch_period': 14, 'risk_reward': 0.8}",0.00031074489958118646,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.651962599144433,0.4,0.5732894405153854,6.2148979916237295,-2.651962599149556,10,20000.0,19997.34803740085,-0.0001325981299574778,3.562935392476635,-6.2148979916210685,22,"{'ema_period': 150, 'adx_threshold': 45.0, 'stoch_period': 14, 'risk_reward': 1.0}",0.00031074489958118646,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.651962599144433,0.4,0.5732894405153854,6.2148979916237295,-2.651962599149556,10,20000.0,19997.34803740085,-0.0001325981299574778,3.562935392476635,-6.2148979916210685,23,"{'ema_period': 150, 'adx_threshold': 45.0, 'stoch_period': 14, 'risk_reward': 1.2}",0.00031074489958118646,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-2.651962599144433,0.4,0.5732894405153854,6.2148979916237295,-2.651962599149556,10,20000.0,19997.34803740085,-0.0001325981299574778,3.562935392476635,-6.2148979916210685,24,"{'ema_period': 150, 'adx_threshold': 45.0, 'stoch_period': 14, 'risk_reward': 1.5}",0.00031074489958118646,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-3.196896741962766,0.16666666666666666,0.3256040247090083,4.740385261913616,-3.196896741963428,6,20000.0,19996.803103258037,-0.0001598448370981714,1.5434885199500936,-4.74038526191286,37,"{'ema_period': 150, 'adx_threshold': 55.0, 'stoch_period': 14, 'risk_reward': 0.8}",0.0002370192630956808,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-3.196896741962766,0.16666666666666666,0.3256040247090083,4.740385261913616,-3.196896741963428,6,20000.0,19996.803103258037,-0.0001598448370981714,1.5434885199500936,-4.74038526191286,38,"{'ema_period': 150, 'adx_threshold': 55.0, 'stoch_period': 14, 'risk_reward': 1.0}",0.0002370192630956808,grid,adx_trend,2025-10-16T03:47:08.495798,{}
-3.196896741962766,0.16666666666666666,0.3256040247090083,4.740385261913616,-3.196896741963428,6,20000.0,19996.803103258037,-0.0001598448370981714,1.5434885199500936,-4.74038526191286,39,"{'ema_period': 150, 'adx_threshold': 55.0, 'stoch_period': 14, 'risk_reward': 1.2}",0.0002370192630956808,grid,adx_trend,2025-10-16T03:47:08.495798,{}
