equity,win_rate,profit_factor,max_drawdown,total_return,num_trades,initial_equity,ending_equity,total_return_pct,gross_profit,gross_loss,iteration,params,max_drawdown_pct,method,strategy_name,started_at
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,10,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.5}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,14,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.2}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,17,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.0}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,18,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.2}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,22,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.0}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,23,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.0}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,24,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.0}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.0637474510472056,0.5,0.8682812299366008,7.564161901296757,-1.063747451044037,14,20000.0,19998.936252548956,-5.318737255220185e-05,7.012151303057474,-8.07589875410468,25,"{'ema_period': 180, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.0}",0.00037820809506483783,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.2338508184743526,0.4482758620689655,0.9137644214122157,10.998105242586462,-1.2338508184693637,29,20000.0,19998.76614918153,-6.169254092346819e-05,13.074058268241473,-14.307909086715828,5,"{'ema_period': 180, 'adx_threshold': 35.0, 'stoch_period': 22, 'risk_reward': 0.8}",0.0005499052621293231,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.2338508184743526,0.4482758620689655,0.9137644214122157,10.998105242586462,-1.2338508184693637,29,20000.0,19998.76614918153,-6.169254092346819e-05,13.074058268241473,-14.307909086715828,12,"{'ema_period': 180, 'adx_threshold': 35.0, 'stoch_period': 22, 'risk_reward': 0.8}",0.0005499052621293231,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.2338508184743526,0.4482758620689655,0.9137644214122157,10.998105242586462,-1.2338508184693637,29,20000.0,19998.76614918153,-6.169254092346819e-05,13.074058268241473,-14.307909086715828,13,"{'ema_period': 180, 'adx_threshold': 35.0, 'stoch_period': 22, 'risk_reward': 0.8}",0.0005499052621293231,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.4151919271176765,0.5555555555555556,0.8487718485031713,8.35352238534324,-1.415191927120759,18,20000.0,19998.58480807288,-7.075959635603795e-05,7.942800702629917,-9.357992629747592,11,"{'ema_period': 250, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 0.8}",0.000417676119267162,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.4151919271176765,0.5555555555555556,0.8487718485031713,8.35352238534324,-1.415191927120759,18,20000.0,19998.58480807288,-7.075959635603795e-05,7.942800702629917,-9.357992629747592,16,"{'ema_period': 250, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.2}",0.000417676119267162,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.4151919271176765,0.5555555555555556,0.8487718485031713,8.35352238534324,-1.415191927120759,18,20000.0,19998.58480807288,-7.075959635603795e-05,7.942800702629917,-9.357992629747592,26,"{'ema_period': 250, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.0}",0.000417676119267162,optuna,adx_trend,2025-10-16T03:26:45.782639
-1.5688920516486968,0.5294117647058824,0.8323465170023366,8.507189079053205,-1.5688920516440703,17,20000.0,19998.431107948356,-7.844460258220352e-05,7.7890528212923735,-9.35794487294107,21,"{'ema_period': 200, 'adx_threshold': 45.0, 'stoch_period': 22, 'risk_reward': 1.2}",0.0004253594539526603,optuna,adx_trend,2025-10-16T03:26:45.782639
