timestamp,equity
2025-09-16,10000.0
2025-09-17,10000.0
2025-09-18,10000.0
2025-09-19,10000.0
2025-09-20,10000.0
2025-09-21,10000.0
2025-09-22,10000.0
2025-09-23,10000.0
2025-09-24,10000.0
2025-09-25,10000.0
2025-09-26,10000.0
2025-09-27,10000.0
2025-09-28,10000.0
2025-09-29,10000.0
2025-09-30,10000.0
2025-10-01,10000.0
2025-10-02,10000.0
2025-10-03,10000.0
2025-10-04,10000.0
2025-10-05,10000.0
2025-10-06,10000.0
2025-10-07,10000.0
2025-10-08,10000.0
2025-10-09,10000.0
2025-10-10,10000.0
2025-10-11,10000.0
2025-10-12,10000.0
2025-10-13,10000.0
2025-10-14,10000.0
2025-10-15,10000.0
