equity,win_rate,profit_factor,max_drawdown,total_return,num_trades,initial_equity,ending_equity,total_return_pct,gross_profit,gross_loss,iteration,params,max_drawdown_pct,method,strategy_name,started_at
4.429749773561534,0.6666666666666666,1.2215508404834317,10.59004331345568,4.429749773564254,9,20000.0,20004.429749773564,0.0002214874886782127,24.424030832914173,-19.994281059352637,5,"{'rsi_period': 7, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 65.0}",0.000529502165672784,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
3.845131507803691,0.6666666666666666,1.192314837701466,11.174661579214444,3.8451315078054904,9,20000.0,20003.845131507805,0.0001922565753902745,23.839072452560945,-19.993940944757256,8,"{'rsi_period': 8, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 55.0}",0.0005587330789607222,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
3.845131507803691,0.6666666666666666,1.192314837701466,11.174661579214444,3.8451315078054904,9,20000.0,20003.845131507805,0.0001922565753902745,23.839072452560945,-19.993940944757256,9,"{'rsi_period': 8, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 70.0}",0.0005587330789607222,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
3.845131507803691,0.6666666666666666,1.192314837701466,11.174661579214444,3.8451315078054904,9,20000.0,20003.845131507805,0.0001922565753902745,23.839072452560945,-19.993940944757256,25,"{'rsi_period': 8, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 65.0}",0.0005587330789607222,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-2.7826729304680278,0.6363636363636364,0.9335384479969708,32.17123186128083,-2.7826729304688342,11,20000.0,19997.21732706953,-0.00013913364652344171,39.08623994627619,-41.86891287674422,15,"{'rsi_period': 5, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 70.0}",0.0016085615930640416,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-2.7826729304680278,0.6363636363636364,0.9335384479969708,32.17123186128083,-2.7826729304688342,11,20000.0,19997.21732706953,-0.00013913364652344171,39.08623994627619,-41.86891287674422,23,"{'rsi_period': 5, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 60.0}",0.0016085615930640416,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-4.050177615487772,0.6,0.9182643735106764,28.03337423130506,-4.050177615488792,15,20000.0,19995.94982238451,-0.0002025088807744396,45.50199185392722,-49.55216946941499,1,"{'rsi_period': 4, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 65.0}",0.0014016687115652531,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-4.050177615487772,0.6,0.9182643735106764,28.03337423130506,-4.050177615488792,15,20000.0,19995.94982238451,-0.0002025088807744396,45.50199185392722,-49.55216946941499,3,"{'rsi_period': 4, 'rsi_entry_threshold': 75.0, 'rsi_exit_threshold': 55.0}",0.0014016687115652531,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-4.050177615487772,0.6,0.9182643735106764,28.03337423130506,-4.050177615488792,15,20000.0,19995.94982238451,-0.0002025088807744396,45.50199185392722,-49.55216946941499,4,"{'rsi_period': 4, 'rsi_entry_threshold': 75.0, 'rsi_exit_threshold': 70.0}",0.0014016687115652531,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-4.050177615487772,0.6,0.9182643735106764,28.03337423130506,-4.050177615488792,15,20000.0,19995.94982238451,-0.0002025088807744396,45.50199185392722,-49.55216946941499,14,"{'rsi_period': 4, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 55.0}",0.0014016687115652531,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-4.050177615487772,0.6,0.9182643735106764,28.03337423130506,-4.050177615488792,15,20000.0,19995.94982238451,-0.0002025088807744396,45.50199185392722,-49.55216946941499,24,"{'rsi_period': 4, 'rsi_entry_threshold': 80.0, 'rsi_exit_threshold': 70.0}",0.0014016687115652531,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-5.131678559120955,0.5555555555555556,0.9147934912256942,35.00149153322127,-5.13167855912252,18,20000.0,19994.868321440877,-0.000256583927956126,55.09468950759192,-60.226368066712865,19,"{'rsi_period': 4, 'rsi_entry_threshold': 70.0, 'rsi_exit_threshold': 60.0}",0.0017500745766610634,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-7.998851570274489,0.6428571428571429,0.8341508412634571,35.274775546182354,-7.998851570275292,14,20000.0,19992.001148429725,-0.0003999425785137646,40.23082671818124,-48.22967828845574,12,"{'rsi_period': 8, 'rsi_entry_threshold': 75.0, 'rsi_exit_threshold': 60.0}",0.0017637387773091176,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-7.998851570274489,0.6428571428571429,0.8341508412634571,35.274775546182354,-7.998851570275292,14,20000.0,19992.001148429725,-0.0003999425785137646,40.23082671818124,-48.22967828845574,21,"{'rsi_period': 8, 'rsi_entry_threshold': 75.0, 'rsi_exit_threshold': 70.0}",0.0017637387773091176,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
-8.839455435095877,0.625,0.819426238681744,28.1236747461262,-8.839455435099808,16,20000.0,19991.1605445649,-0.0004419727717549904,40.11259258430927,-48.95204801940514,2,"{'rsi_period': 6, 'rsi_entry_threshold': 70.0, 'rsi_exit_threshold': 70.0}",0.0014061837373063098,bayesian,rsi_momentum,2025-10-16T03:28:55.344278
